Tiempo (s),Mejor Costo
0,7140
0,7130
0,7120
0,7110
0,7100
0,7090
0,7080
0,7070
0,7060
0,7050
0,7040
0,7030
0,7020
0,7010
0,7000
0,6990
0,6980
0,6970
0,6960
0,6950
0,6940
0,6930
0,6920
0,6910
0,6900
0,6890
0,6880
0,6870
0,6860
0,6850
0,6840
0,6830
0,6820
0,6810
0,6800
0,6790
0,6780
0,6770
0,6760
0,6750
0,6740
0,6730
0,6720
0,6710
0,6700
0,6690
0,6680
0,6670
0,6660
0,6650
0,6640
0,6630
0,6620
0,6610
0,6600
0,6590
0,6580
0,6570
0,6560
0,6550
0,6540
0,6530
0,6520
0,6510
0,6500
0,6490
0,6480
0,6470
0,6460
0,6450
0,6440
0,6430
0,6420
0,6410
0,6400
0,6390
0,6380
0,6370
0,6360
0,6350
0,6340
0,6330
0,6320
0,6310
0,6300
0,6290
0,6280
0,6270
0,6260
0,6250
0,6240
0,6230
0,6220
0,6210
0,6200
0,6190
0,6180
0,6170
0,6160
0,6150
0,6140
0,6130
0,6120
0,6110
0,6100
0,6090
0,6080
0,6070
0,6060
0,6050
0,6040
0,6030
0,6020
0,6010
0,6000
0,5990
0,5980
0,5970
0,5960
0,5950
0,5940
0,5930
0,5920
0,5910
0,5900
0,5890
0,5880
0,5870
0,5860
0,5850
0,5840
0,5830
0,5820
0,5810
0,5800
0,5790
0,5780
0,5770
0,5760
0,5750
0,5740
0,5730
0,5720
0,5710
0,5700
0,5690
0,5680
0,5670
0,5660
0,5650
0,5640
0,5630
0,5620
0,5610
0,5600
0,5590
0,5580
0,5570
0,5560
0,5550
0,5540
0,5530
0,5520
0,5510
0,5500
0,5490
0,5480
0,5470
0,5460
1,5460
2,5460
3,5460
4,5460
5,5460
6,5460
7,5460
8,5460
9,5460
10,5460
11,5460
12,5460
13,5460
14,5460
15,5460
16,5460
17,5460
18,5460
19,5460
20,5460
21,5460
22,5460
22,5450
23,5450
24,5450
25,5450
26,5450
27,5450
28,5450
29,5450
30,5450
31,5450
32,5450
33,5450
34,5450
35,5450
36,5450
37,5450
38,5450
39,5450
40,5450
41,5450
42,5450
43,5450
43,5440
44,5440
45,5440
46,5440
47,5440
48,5440
49,5440
50,5440
51,5440
52,5440
53,5440
54,5440
55,5440
56,5440
57,5440
58,5440
59,5440
60,5440
61,5440
62,5440
63,5440
64,5440
64,5430
65,5430
66,5430
67,5430
68,5430
69,5430
70,5430
71,5430
72,5430
73,5430
74,5430
75,5430
76,5430
77,5430
78,5430
79,5430
80,5430
81,5430
82,5430
83,5430
84,5430
85,5430
85,5420
86,5420
87,5420
88,5420
89,5420
90,5420
91,5420
92,5420
93,5420
94,5420
95,5420
96,5420
97,5420
98,5420
99,5420
100,5420
101,5420
102,5420
103,5420
104,5420
105,5420
106,5420
106,5410
107,5410
108,5410
109,5410
110,5410
111,5410
112,5410
113,5410
114,5410
115,5410
116,5410
117,5410
118,5410
119,5410
120,5410
