Tiempo (s),Mejor Costo
0,1550
0,1549
0,1548
0,1547
0,1546
0,1545
0,1544
0,1543
0,1542
0,1541
0,1540
0,1539
0,1538
0,1537
0,1536
0,1535
0,1534
0,1533
0,1532
0,1531
0,1530
0,1529
0,1528
0,1527
0,1526
0,1525
1,1525
1,1524
1,1523
1,1522
1,1521
1,1520
1,1519
1,1518
1,1517
1,1516
1,1515
1,1514
1,1513
1,1512
1,1511
1,1510
1,1509
1,1508
1,1507
1,1506
1,1505
1,1504
1,1503
1,1502
1,1501
1,1500
1,1499
1,1498
1,1497
1,1496
1,1495
1,1494
1,1493
1,1492
1,1491
1,1490
1,1489
1,1488
1,1487
1,1486
1,1485
1,1484
1,1483
1,1482
1,1481
1,1480
1,1479
1,1478
1,1477
1,1476
1,1475
2,1475
3,1475
4,1475
5,1475
6,1475
7,1475
8,1475
9,1475
10,1475
11,1475
12,1475
13,1475
14,1475
15,1475
16,1475
17,1475
18,1475
19,1475
20,1475
21,1475
22,1475
23,1475
24,1475
25,1475
26,1475
27,1475
28,1475
29,1475
30,1475
31,1475
32,1475
33,1475
34,1475
35,1475
36,1475
37,1475
38,1475
39,1475
40,1475
41,1475
42,1475
43,1475
44,1475
45,1475
46,1475
47,1475
48,1475
49,1475
50,1475
51,1475
52,1475
53,1475
54,1475
55,1475
56,1475
57,1475
58,1475
59,1475
60,1475
61,1475
62,1475
63,1475
64,1475
65,1475
66,1475
67,1475
68,1475
69,1475
70,1475
71,1475
72,1475
73,1475
74,1475
75,1475
76,1475
77,1475
78,1475
79,1475
80,1475
81,1475
82,1475
83,1475
84,1475
85,1475
86,1475
87,1475
88,1475
89,1475
90,1475
91,1475
92,1475
93,1475
94,1475
95,1475
96,1475
97,1475
98,1475
99,1475
100,1475
101,1475
102,1475
103,1475
104,1475
105,1475
106,1475
107,1475
108,1475
109,1475
110,1475
111,1475
112,1475
113,1475
114,1475
115,1475
116,1475
117,1475
118,1475
119,1475
120,1475
